|2020/04/24 17:54:58.146| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIARMENU/ARTAC    | 
|2020/04/24 17:54:58.146| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/CTR | 
|2020/04/24 17:54:58.146| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/ADMIN    | 
|2020/04/24 17:54:58.146| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIWFMENU/UVUTIL   | 
|2020/04/24 17:54:58.146| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIWFMENU/WORKFLOW | 
|2020/04/24 17:54:58.161| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIWFMENU/CIWFTABL | 
|2020/04/24 17:54:58.161| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/INQUIRY  | 
|2020/04/24 17:54:58.161| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/QAGE     | 
|2020/04/24 17:54:58.985| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIWFMENU/STDRPTS  | 
|2020/04/24 17:54:58.985| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/PURGES   | 
|2020/04/24 17:54:58.990| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/SCANNING | 
|2020/04/24 17:54:58.990| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/SETUP    | 
|2020/04/24 17:54:58.990| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():WFARMENU/EPICMENU | 
|2020/04/24 17:54:58.990| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIWFMENU/UVUTIL   | 
|2020/04/24 17:54:58.990| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIWFMENU/WORKFLOW | 
|2020/04/24 17:54:58.990| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CIWFMENU/CIWFTABL | 
|2020/04/24 17:54:59.005| CEFClient |INFO | CSCommon.Collections.MenuProgramInfo.getMenu | 0 | => Invoking the menu using: getMenu():CITBMENU/TBMASTER | 
